model,accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp,threshold,threshold_quantile
Mean reference,0.2599209118399628,0.5619292769946681,0.9717994628469113,0.2157622739018088,0.35312296681847755,0.9080962800875274,0.604832152253403,0.9447776357075923,1245,126,15782,4342,0.5537188053131104,
Ridge + PCA,0.3595719934868574,0.6188876775806194,0.9825440194292653,0.32165573444643214,0.48465109314165916,0.9161196207148067,0.725118851015752,0.9725037847261757,1256,115,13651,6473,0.6247051954269409,
Shared LSTM,0.8684345196557339,0.8712812074981939,0.990249433106576,0.8680182866229378,0.9251138650566677,0.8745441283734501,0.9434918893088962,0.995276776634664,1199,172,2656,17468,0.4814983606338501,0.9
